Genes,Gene_type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
ACSL4,1,-0.17351356,0.16321911,0.08011165,0.01670679,0.1621729,-0.41005516,0.100697055,0.6080261,-0.25392196,0.059924863,-0.23194148,-0.33507836,-0.034547895,0.14912538,0.009164082,-0.19858728,0.023244096,-0.36535898,-0.03659177,-0.594551,0.071797386,0.1948072,0.20089649,-0.10381729,-0.09247578,-0.013230565,-0.32382563,-0.28291667,-0.13273688,0.0016462496,0.410319,0.10056439,0.10748793,-0.008420253,-0.15540121,0.3315934,-0.07129486,-0.44299537,-0.3819396,-0.57648575,-0.13287301,-0.2012576,0.011073038,-0.051587794,0.2839149,-0.19123839,-0.15583788,0.091649786,0.1640344,0.13764185,0.19428712,-0.30569634,-0.1139168,0.018949578,-0.3459329,0.20955278,0.18233798,-0.028983565,-0.36073107,0.07786348,0.037973624,0.11082175,-0.24059542,-0.19586542,-0.5132115,0.06474867,0.11054678,0.19390772,-0.380424,0.24079946,-0.20694147,-0.06531,0.28405508,-0.19924684,0.08223616,0.1949123,-0.095864914,-0.052140802,-0.20075804,0.26497442,-0.0042380965,-0.23058261,-0.27406022,0.52715105,0.01578786,0.099918,-0.16328338,0.5604327,0.3002343,0.061015442,0.38923156,0.07394891,-0.16880079,0.045827355,0.39093375,0.38701814,0.0056520356,-0.45413136,0.20166433,-0.20773262
YWHAB,1,-0.17192811,0.15853551,0.0777789,0.014137176,0.17243129,-0.38864914,0.09038177,0.57810014,-0.24332929,0.054288004,-0.22661833,-0.33057845,-0.0340126,0.14406547,0.015618218,-0.18020017,0.027733983,-0.33990154,-0.03323565,-0.5622044,0.06508642,0.17183946,0.19541518,-0.110402584,-0.0849654,-0.0040002563,-0.3097719,-0.26844904,-0.12026495,0.011841668,0.41301972,0.09344264,0.094294235,-0.006209014,-0.1402871,0.32069758,-0.0661707,-0.41258484,-0.35783452,-0.5362447,-0.107820615,-0.20602274,0.009515877,-0.042283427,0.26613978,-0.17658493,-0.1344226,0.07293815,0.15063193,0.12515806,0.20190513,-0.30991304,-0.108534016,0.016551157,-0.33913392,0.21462144,0.18135822,-0.013401219,-0.34328222,0.070838526,0.026966795,0.106479704,-0.22924918,-0.18663225,-0.48553035,0.06530809,0.117153585,0.17557606,-0.3582144,0.23525238,-0.20868537,-0.082751095,0.28044373,-0.17084786,0.07625979,0.17603707,-0.10010234,-0.048162952,-0.1806807,0.25715458,-0.012512686,-0.21949822,-0.26638323,0.4867203,0.015820645,0.08669429,-0.16062115,0.5295788,0.29650506,0.046841655,0.37507913,0.07199731,-0.16058704,0.03543822,0.36376312,0.3680494,0.021470662,-0.42612007,0.17763342,-0.20271556
CDC25B,1,-0.17012684,0.16169813,0.06609582,0.006643581,0.17473435,-0.39657143,0.085191645,0.59687275,-0.26125777,0.07072238,-0.24172352,-0.33456302,-0.021306489,0.14139856,0.021216465,-0.20103821,0.031159978,-0.35209662,-0.03802781,-0.5866896,0.057216518,0.18123715,0.1895868,-0.11782809,-0.09035132,-0.016043847,-0.30559105,-0.2761246,-0.13331087,0.010197309,0.41984555,0.092782505,0.09138464,0.0020251316,-0.16127844,0.3275179,-0.080366686,-0.43120918,-0.38104963,-0.56601065,-0.127173,-0.2032176,0.020688176,-0.03169944,0.2833811,-0.17835093,-0.14327429,0.06972289,0.14912777,0.1258247,0.19904168,-0.311094,-0.11536438,0.009936549,-0.35824448,0.20442382,0.1754505,-0.027619898,-0.35819125,0.06360727,0.04772169,0.09690305,-0.22066519,-0.18768448,-0.51049626,0.07529935,0.11610138,0.1960675,-0.38473502,0.24093181,-0.20665689,-0.07010283,0.28540352,-0.18380558,0.07711239,0.19922264,-0.08476042,-0.04517953,-0.1996119,0.2747278,-0.0049721845,-0.24130645,-0.28745055,0.5100866,0.018214831,0.08707608,-0.16989076,0.5528108,0.31065112,0.055374376,0.38031712,0.07957572,-0.1596691,0.046243645,0.38917053,0.3892686,0.022166526,-0.43311948,0.20265982,-0.21927881
CDC25C,1,-0.16582146,0.15963191,0.06677401,0.00532202,0.16314048,-0.37615284,0.08543672,0.56115496,-0.22608536,0.045881614,-0.20782472,-0.30509484,-0.018785741,0.12679368,0.02015923,-0.18403386,0.030715557,-0.34140494,-0.038422246,-0.53287363,0.060501773,0.16485788,0.18704288,-0.087610625,-0.09826837,-0.0058322656,-0.2850455,-0.25589123,-0.113549896,0.007958173,0.38629198,0.08796121,0.08373013,-0.003930748,-0.1342114,0.3184994,-0.058947083,-0.4102902,-0.36609012,-0.5144577,-0.10897336,-0.18884166,0.025356725,-0.043339647,0.27059072,-0.17639324,-0.133453,0.06721734,0.14078553,0.116614625,0.19272603,-0.28844976,-0.11664473,0.0027912823,-0.33308035,0.19899967,0.16595115,-0.009981866,-0.32388604,0.05473694,0.035963446,0.10344429,-0.20465289,-0.17501555,-0.46508402,0.055201612,0.10077099,0.18580972,-0.35593066,0.21288525,-0.1900336,-0.07098931,0.26287916,-0.1591556,0.07465371,0.17138454,-0.09614469,-0.036303334,-0.18687993,0.25480762,-0.010470478,-0.20837729,-0.25582936,0.4788656,0.012120076,0.08179132,-0.1407441,0.5238255,0.27857703,0.040124297,0.3513857,0.07116029,-0.15708493,0.039815154,0.3673917,0.353001,0.021163408,-0.41525713,0.17754035,-0.20531556
BABAM1,1,-0.1716724,0.15773274,0.06528046,0.006432068,0.16857012,-0.38071093,0.087190874,0.5786858,-0.24529089,0.066517755,-0.2358481,-0.31665155,-0.03523513,0.13836862,0.006009103,-0.19511238,0.018833682,-0.34445265,-0.021300822,-0.56782776,0.061299834,0.1705838,0.19381995,-0.09313086,-0.09697309,-0.007224817,-0.3074472,-0.2698569,-0.1287896,0.00796888,0.4083878,0.10005516,0.09698936,-0.013394977,-0.13669765,0.3163522,-0.07790768,-0.42100075,-0.37067688,-0.5491851,-0.11627619,-0.20793892,0.010415192,-0.0334674,0.28046638,-0.19231267,-0.13990963,0.07415233,0.15364398,0.11724676,0.20263481,-0.2960463,-0.098124206,0.008024254,-0.34505212,0.2017076,0.16080202,-0.032442372,-0.34773746,0.05546076,0.04311327,0.097752586,-0.22129709,-0.18180308,-0.49404043,0.059885226,0.11821394,0.19279471,-0.37261143,0.24189644,-0.21228002,-0.06510324,0.27040464,-0.17510115,0.08240898,0.19407263,-0.101232834,-0.0384841,-0.18286803,0.25374594,-0.015618846,-0.23254761,-0.2665072,0.49408886,0.01166763,0.08257443,-0.15218051,0.54783845,0.2811273,0.04815696,0.37640715,0.06602573,-0.15989211,0.03908323,0.3710452,0.35988387,0.022316279,-0.42130437,0.19255342,-0.20472392
BRCC3,1,-0.18261984,0.16431303,0.0780225,-0.002437388,0.16144334,-0.40911782,0.09948619,0.60871714,-0.25695622,0.05700727,-0.24847297,-0.34174976,-0.037890732,0.13219774,0.0074786157,-0.20675392,0.014004263,-0.3771282,-0.03259904,-0.5969007,0.054175768,0.18600775,0.20550138,-0.10010096,-0.11019785,-0.0111687025,-0.31836405,-0.29994094,-0.12212354,0.015097456,0.4309142,0.09689453,0.09600695,-0.00779306,-0.15579584,0.34781048,-0.071716756,-0.4390671,-0.38378665,-0.5791352,-0.10978633,-0.21552567,0.015204965,-0.048412573,0.28838113,-0.19536217,-0.1485978,0.08402649,0.15544878,0.12982553,0.21044883,-0.32447022,-0.104444414,0.024508046,-0.3668739,0.22024399,0.19088739,-0.030884175,-0.36973682,0.06196426,0.047272585,0.10992907,-0.22685269,-0.19868496,-0.5095261,0.06929547,0.115213774,0.19561364,-0.39620644,0.23243992,-0.2157381,-0.06593182,0.2985484,-0.18369158,0.08231444,0.20489635,-0.1128517,-0.04672833,-0.19916278,0.28173208,0.0004369854,-0.2428774,-0.2768154,0.51263434,0.018641237,0.08636453,-0.1747845,0.5816134,0.30677837,0.059812896,0.40396526,0.08278423,-0.18205246,0.045818266,0.40040457,0.39409226,0.012095513,-0.4568143,0.20307371,-0.22417557
TTK,1,-0.15574871,0.15226068,0.07290452,0.008647312,0.16576794,-0.39337218,0.09635023,0.585451,-0.25040895,0.05990595,-0.22556469,-0.3268372,-0.026570383,0.14802739,0.0058330726,-0.19013594,0.032353666,-0.34808797,-0.028375467,-0.5806898,0.06593413,0.17768624,0.20030797,-0.10246839,-0.0955339,-0.0040861233,-0.31055042,-0.28302118,-0.12144639,0.003694438,0.4168951,0.10857321,0.09782484,0.004079141,-0.15494965,0.3272077,-0.08264971,-0.4380998,-0.38149425,-0.5652051,-0.11223086,-0.20900165,0.030197956,-0.048873514,0.2807388,-0.1735077,-0.15066645,0.0640312,0.14710008,0.12146947,0.19649029,-0.31305018,-0.116802044,0.019320171,-0.35342646,0.20027211,0.16997282,-0.028467799,-0.3517654,0.05578001,0.040275633,0.099494234,-0.22007705,-0.18057223,-0.49590126,0.0684833,0.10015875,0.1790224,-0.3784557,0.22695495,-0.20893326,-0.06550613,0.27508628,-0.17365664,0.085652635,0.17974557,-0.0897643,-0.039016936,-0.1935065,0.2704183,0.0010498008,-0.23361361,-0.27926266,0.5018844,0.012191179,0.08414624,-0.14975241,0.53892595,0.2889853,0.05295206,0.37492236,0.07136142,-0.16982341,0.04690956,0.37180552,0.36996543,0.024391957,-0.4338175,0.18871722,-0.2019243
SMARCC1,1,-0.1591998,0.15356207,0.08253144,0.015820153,0.16231006,-0.39436716,0.096489914,0.58410233,-0.24918184,0.057949774,-0.23470894,-0.33016184,-0.02382299,0.13484064,0.013626343,-0.1903447,0.029399252,-0.357188,-0.03408655,-0.5850009,0.060818788,0.19161624,0.19234349,-0.11608693,-0.10452064,-0.002576585,-0.31911853,-0.274789,-0.12916179,0.018436473,0.40104023,0.10262,0.096945025,-0.008938654,-0.15204798,0.32543787,-0.082256466,-0.42956132,-0.38367888,-0.5565032,-0.111162186,-0.20477217,0.020992542,-0.039328627,0.28739047,-0.19319236,-0.15098694,0.07405927,0.16563797,0.12805772,0.18619654,-0.30841526,-0.10020907,0.007553579,-0.35327893,0.21957962,0.16678843,-0.019630125,-0.35099697,0.074444495,0.050753452,0.10514599,-0.23377667,-0.1748574,-0.49973848,0.07079947,0.09884642,0.19774479,-0.37475634,0.22631222,-0.20580603,-0.076362625,0.2839235,-0.18693621,0.07501786,0.19008009,-0.090315305,-0.05436522,-0.19017799,0.2613462,-0.012193408,-0.23174064,-0.28301418,0.5116971,0.01869537,0.09242071,-0.1605856,0.56428224,0.3054616,0.051588137,0.38471964,0.06685766,-0.1763606,0.05069166,0.3745544,0.3762022,0.014556514,-0.4412047,0.19723764,-0.21610235
SWI5,1,-0.17658375,0.16134743,0.070593655,0.017761711,0.16393504,-0.37264782,0.100104414,0.5464202,-0.23744354,0.074721776,-0.22401045,-0.31346706,-0.018189084,0.12516235,0.024360148,-0.17996375,0.014034031,-0.34368074,-0.028828444,-0.5447168,0.053675037,0.19266596,0.19389617,-0.107832186,-0.08995279,-0.015200297,-0.3053486,-0.28692225,-0.12175197,-0.005034837,0.39899102,0.08805313,0.10008644,0.020599699,-0.14346637,0.3145914,-0.08219806,-0.39756373,-0.3474968,-0.54086196,-0.11483197,-0.18671699,0.023981204,-0.046257522,0.2625528,-0.16758414,-0.13732474,0.0806969,0.14056715,0.115278624,0.18627894,-0.28594348,-0.09615982,0.020069597,-0.32897455,0.19582418,0.16378562,-0.022662135,-0.3276623,0.06460336,0.03351865,0.10380684,-0.21146733,-0.17894366,-0.49264535,0.052567374,0.09944519,0.18171151,-0.35847935,0.22265472,-0.20641468,-0.076425195,0.2719903,-0.17154741,0.061359234,0.17131487,-0.112499885,-0.065354206,-0.199288,0.25611746,-0.0045989407,-0.23163301,-0.24882375,0.4911408,0.029387001,0.09882047,-0.16287799,0.5216183,0.27470487,0.05326839,0.35384792,0.066688746,-0.16012555,0.046752676,0.36384946,0.3692201,0.016734688,-0.4171739,0.20271735,-0.2043885
MORF4L1,1,-0.17899555,0.15536879,0.06467389,0.017238291,0.16769692,-0.40808985,0.087879285,0.5988964,-0.25421843,0.0632348,-0.23784691,-0.33507502,-0.03211808,0.14143208,0.0084214285,-0.1871965,0.026807684,-0.37369233,-0.01754169,-0.5860064,0.061304055,0.19088978,0.18830906,-0.10855178,-0.09019556,-0.019275995,-0.32901704,-0.27881715,-0.1313712,0.00014038423,0.4272088,0.10526427,0.10521186,0.014175083,-0.1599124,0.3374741,-0.07746036,-0.43264508,-0.3792117,-0.5655634,-0.11778756,-0.20015846,0.018377652,-0.05038027,0.2825467,-0.18526237,-0.15214801,0.08941794,0.15829392,0.13604951,0.2052118,-0.30048677,-0.10969982,0.026776472,-0.352899,0.20581388,0.1695093,-0.026025916,-0.3524408,0.06737232,0.038166434,0.12100963,-0.22451966,-0.19252631,-0.51810426,0.055799853,0.10814316,0.17885792,-0.3771789,0.23552547,-0.20947075,-0.0731366,0.28141892,-0.19804718,0.07965967,0.18639798,-0.10149797,-0.058553506,-0.19183338,0.27538732,0.0009767069,-0.23993278,-0.2806662,0.5295285,0.024036512,0.089998126,-0.17927042,0.56937176,0.3066483,0.057161726,0.37757462,0.08193134,-0.17051682,0.053043313,0.39105254,0.37601662,0.005858845,-0.4434721,0.21462397,-0.21059385
